Climate,Plot,block_old,Block,Species.dev,Species,Abundance,Notes
Arid,Open,1,A,Yellow.pea,Acmispon wrangelianus,0.050186779,
Arid,Open,2,B,Yellow.pea,Acmispon wrangelianus,0.053601126,
Arid,Open,3,C,Yellow_pea,Acmispon wrangelianus,0.041391799,
Arid,Partial,1,A,Yellow.pea,Acmispon wrangelianus,0.024346697,
Arid,Partial,2,B,Yellow.pea,Acmispon wrangelianus,0.031004235,
Int,Open,1,D,Yellow_pea,Acmispon wrangelianus,0.041391799,
Int,Open,2,E,Yellow_pea,Acmispon wrangelianus,0.025951047,
Int,Total,2,E,Yellow_pea,Acmispon wrangelianus,0.020432407,
Mesic,Open,1,G,fuzzy.yellow.pea,Acmispon wrangelianus,0.049264454,
Mesic,Open,2,H,fuzzy.yellow.pea,Acmispon wrangelianus,0.032879819,
Mesic,Open,3,I,fuzzy.yellow.pea,Acmispon wrangelianus,0.089425982,
Mesic,Partial,1,G,fuzzy.yellow.pea,Acmispon wrangelianus,0.023177472,
Mesic,Partial,2,H,fuzzy.yellow.pea,Acmispon wrangelianus,0.015664691,
Mesic,Partial,3,I,fuzzy.yellow.pea,Acmispon wrangelianus,0.047559225,
Mesic,Total,1,G,fuzzy.yellow.pea,Acmispon wrangelianus,0.02088822,Acmispon_argophyllus
Mesic,Total,2,H,fuzzy.yellow.pea,Acmispon wrangelianus,0.023993324,Acmispon_argophyllus
Mesic,Total,3,I,fuzzy.yellow.pea,Acmispon wrangelianus,0.030598053,
Arid,Partial,3,C,yellow_aster,Asteraceae sp.,0.022732147,
Int,Partial,1,D,yellow_aster,Asteraceae sp.,0.022732147,
Mesic,Partial,3,I,False.snowberry_yellow.flowers,Astragalus sp.,0.026740847,
Arid,Partial,1,A,Avena,Avena fatua,0.014608018,
Arid,Open,1,A,Ripgut,Bromus diandrus,0.06366737,
Arid,Open,2,B,Ripgut,Bromus diandrus,0.072917999,
Arid,Open,3,C,Ripgut,Bromus diandrus,0.348380977,
Arid,Partial,1,A,Ripgut,Bromus diandrus,0.329816588,
Arid,Partial,2,B,Ripgut,Bromus diandrus,0.329854809,
Arid,Partial,3,C,Ripgut,Bromus diandrus,0.4173279,
Arid,Total,1,A,Ripgut,Bromus diandrus,0.337296345,
Arid,Total,2,B,Ripgut,Bromus diandrus,0.422985675,
Arid,Total,3,C,Ripgut,Bromus diandrus,0.41048622,
Int,Open,1,D,Ripgut,Bromus diandrus,0.348380977,
Int,Open,2,E,Ripgut,Bromus diandrus,0.120613388,
Int,Open,3,F,Ripgut,Bromus diandrus,0.124755245,
Int,Partial,1,D,Ripgut,Bromus diandrus,0.4173279,
Int,Partial,2,E,Ripgut,Bromus diandrus,0.61135499,
Int,Partial,3,F,Ripgut,Bromus diandrus,0.405447071,
Int,Total,1,D,Ripgut,Bromus diandrus,0.41048622,
Int,Total,2,E,Ripgut,Bromus diandrus,0.4297933,
Int,Total,3,F,Ripgut,Bromus diandrus,0.461291187,
Arid,Open,1,A,Soft.Chess,Bromus hordeaceus,0.274646744,
Arid,Open,2,B,Soft.Chess,Bromus hordeaceus,0.251503134,
Arid,Open,3,C,Soft.chess,Bromus hordeaceus,0.115897038,
Arid,Partial,1,A,Soft.Chess,Bromus hordeaceus,0.133906833,
Arid,Partial,2,B,Soft.Chess,Bromus hordeaceus,0.203871748,
Arid,Partial,3,C,Soft.chess,Bromus hordeaceus,0.099935664,
Arid,Total,1,A,Soft.Chess,Bromus hordeaceus,0.39872303,
Arid,Total,2,B,Soft.Chess,Bromus hordeaceus,0.349079552,
Arid,Total,3,C,Soft.chess,Bromus hordeaceus,0.053775487,
Int,Open,1,D,Soft.chess,Bromus hordeaceus,0.115897038,
Int,Open,2,E,Soft.chess,Bromus hordeaceus,0.167207313,
Int,Open,3,F,Soft.chess,Bromus hordeaceus,0.107412587,
Int,Partial,1,D,Soft.chess,Bromus hordeaceus,0.099935664,
Int,Partial,2,E,Soft.chess,Bromus hordeaceus,0.099209833,
Int,Partial,3,F,Soft.chess,Bromus hordeaceus,0.064748201,
Int,Total,1,D,Soft.chess,Bromus hordeaceus,0.053775487,
Int,Total,2,E,Soft.chess,Bromus hordeaceus,0.066286529,
Int,Total,3,F,Soft.chess,Bromus hordeaceus,0.084918296,
Arid,Open,3,C,Red.brome,Bromus madritensis ssp. Ruben,0.039020394,
Arid,Partial,1,A,red.brome,Bromus madritensis ssp. Ruben,0.017691933,
Arid,Partial,3,C,Red.brome,Bromus madritensis ssp. Ruben,0.028307956,
Arid,Total,3,C,Red.brome,Bromus madritensis ssp. Ruben,0.098140264,
Int,Open,1,D,Red.brome,Bromus madritensis ssp. Ruben,0.039020394,
Int,Open,2,E,Red.brome,Bromus madritensis ssp. Ruben,0.056325568,
Int,Open,3,F,Red.brome,Bromus madritensis ssp. Ruben,0.071608392,
Int,Partial,1,D,Red.brome,Bromus madritensis ssp. Ruben,0.028307956,
Int,Partial,2,E,Red.brome,Bromus madritensis ssp. Ruben,0.021656424,
Int,Partial,3,F,Red.brome,Bromus madritensis ssp. Ruben,0.031860226,
Int,Total,1,D,Red.brome,Bromus madritensis ssp. Ruben,0.098140264,
Int,Total,2,E,Red.brome,Bromus madritensis ssp. Ruben,0.034449988,
Arid,Open,2,B,Cheat.grass,Bromus tectorum ,0.093897915,
Arid,Open,3,C,Cheatgrass,Bromus tectorum ,0.06122537,
Arid,Partial,1,A,Cheat.grass,Bromus tectorum ,0.046258724,
Arid,Partial,2,B,Cheat.grass,Bromus tectorum ,0.04491833,
Arid,Partial,3,C,Cheatgrass,Bromus tectorum ,0.049538923,
Arid,Total,1,A,Cheat.grass,Bromus tectorum ,0.018494055,
Arid,Total,3,C,Cheatgrass,Bromus tectorum ,0.083800134,
Int,Open,1,D,Cheatgrass,Bromus tectorum ,0.06122537,
Int,Open,2,E,Cheatgrass,Bromus tectorum ,0.132114421,
Int,Open,3,F,Cheatgrass,Bromus tectorum ,0.119160839,
Int,Partial,1,D,Cheatgrass,Bromus tectorum ,0.049538923,
Int,Partial,2,E,Cheatgrass,Bromus tectorum ,0.058823529,
Int,Partial,3,F,Cheatgrass,Bromus tectorum ,0.107142857,
Int,Total,1,D,Cheatgrass,Bromus tectorum ,0.083800134,
Int,Total,2,E,Cheatgrass,Bromus tectorum ,0.043715847,
Int,Total,3,F,Cheatgrass,Bromus tectorum ,0.058933833,
Mesic,Open,1,G,Cheat.grass,Bromus tectorum ,0.100923709,
Mesic,Open,2,H,Cheat.grass,Bromus tectorum ,0.085411943,
Mesic,Open,3,I,Cheat.grass,Bromus tectorum ,0.055589124,
Mesic,Partial,1,G,Cheat.grass,Bromus tectorum ,0.081386544,
Mesic,Partial,2,H,Cheat.grass,Bromus tectorum ,0.039373412,
Mesic,Partial,3,I,Cheat.grass,Bromus tectorum ,0.01615219,
Mesic,Total,1,G,Cheat.grass,Bromus tectorum ,0.053067369,
Mesic,Total,2,H,Cheat.grass,Bromus tectorum ,0.05466305,
Mesic,Total,3,I,Cheat.grass,Bromus tectorum ,0.043512815,
Arid,Open,2,B,Red.maids,Calandrinia menziesii,0.016899645,alt name is Calandrinia ciliata
Arid,Open,1,A,White.bell.carnation,Cerastium glomeratum,0.017703427,
