Unique_id,climate,block,treatment,field_name,species_name,individual,functional_group,wet_weight_g,wet_weight_mg,dry_weight_g,dry_weight_mg,leaf_num,Area_leaf_1,Area_leaf_2,Area_Leaf_total_mm2,Average_Leaf_Area,image,Scan,Processor,Include_2017_90_analysis?,Notes,need_to_process_scans,Notes
Arid.Cattle Exclosure.K.1,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,1,forb,0.07,70,0.014,14,2,100.346,98.248,198.594,99.297,,Scan 61.pdf,Erin,,,,
Arid.Cattle Exclosure.K.2,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,2,forb,0.07,70,0.015,15,2,92.065,148.475,240.54,120.27,,Scan 55.pdf,Astrid,,,,
Arid.Cattle Exclosure.K.3,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,3,forb,0.095,95,0.017,17,2,119.022,160.82,279.842,139.921,,Scan 55.pdf,Astrid,,,,
Arid.Cattle Exclosure.K.4,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,4,forb,0.1,100,0.02,20,2,155.738,166.762,322.5,161.25,,Scan 55.pdf,Astrid,,,,
Arid.Cattle Exclosure.K.5,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,5,forb,0.08,80,0.016,16,2,120.428,137.969,258.397,129.1985,,Scan 55.pdf,Astrid,,,,
Arid.Cattle Exclosure.K.6,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,6,forb,0.09,90,0.018,18,2,126.457,152.207,278.664,139.332,,Scan 55.pdf,Astrid,,,,
Arid.Cattle Exclosure.K.7,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,7,forb,0.01,10,0.016,16,2,125.337,201.068,326.405,163.2025,,Scan 55.pdf,Astrid,,,,
Arid.Cattle Exclosure.K.8,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,8,forb,0.06,60,0.011,11,,NA,NA,NA,NA,CCF18042017_9,CCF18042017_9.pdf,Angela,,,,
Arid.Cattle Exclosure.K.9,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,9,forb,0.065,65,0.013,13,,NA,NA,NA,NA,CCF18042017_9,CCF18042017_9.pdf,Angela,,,,
Arid.Cattle Exclosure.K.10,Arid,2,Cattle Exclosure,K,Acmispon wrangelianus,10,forb,0.11,110,0.02,20,,NA,NA,NA,NA,CCF18042017_9,CCF18042017_9.pdf,Angela,,,,
Arid.Cattle Exclosure.C.1,Arid,2,Cattle Exclosure,C,Bromus diandrus,1,grass,0.21,210,0.075,75,2,745.184,680.7072,1425.8912,712.9456,Scan 20,Scan 20.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.C.2,Arid,2,Cattle Exclosure,C,Bromus diandrus,2,grass,0.14,140,0.05,50,2,414.1113,492.9937,907.105,453.5525,Scan 20,Scan 20.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.C.3,Arid,2,Cattle Exclosure,C,Bromus diandrus,3,grass,0.19,190,0.05,50,2,590.7313,548.6684,1139.3997,569.69985,Scan 19,Scan 19.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.C.4,Arid,2,Cattle Exclosure,C,Bromus diandrus,4,grass,0.31,310,0.11,110,2,1042.6017,1031.8322,2074.4339,1037.21695,Scan 19,Scan 19.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.C.5,Arid,2,Cattle Exclosure,C,Bromus diandrus,5,grass,0.13,130,0.06,60,2,447.3685,410.8479,858.2164,429.1082,Scan 19,Scan 19.pdf,Jagger,Yes,,,
Arid.Cattle Exclosure.C.6,Arid,2,Cattle Exclosure,C,Bromus diandrus,6,grass,0.22,220,0.078,78,2,562.5268,616.1098,1178.6366,589.3183,Scan 19?,CCF17042017_23.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.C.7,Arid,2,Cattle Exclosure,C,Bromus diandrus,7,grass,0.11,110,0.043,43,2,374.831,340.042,714.873,357.4365,Scan 18,CCF17042017_23.pdf,Maggie,Yes,CCF17042017_23 or Scan 18,,
Arid.Cattle Exclosure.C.8,Arid,2,Cattle Exclosure,C,Bromus diandrus,8,grass,0.17,170,0.049,49,2,359.446,483.182,842.628,421.314,Scan 18,CCF17042017_23.pdf,Maggie,Yes,CCF17042017_23 or Scan 18,,
Arid.Cattle Exclosure.C.9,Arid,2,Cattle Exclosure,C,Bromus diandrus,9,grass,0.26,260,0.08,80,2,777.163,797.313,1574.476,787.238,Scan 18,CCF17042017_23.pdf,Maggie,Yes,CCF17042017_23 or Scan 18,,
Arid.Cattle Exclosure.C.10,Arid,2,Cattle Exclosure,C,Bromus diandrus,10,grass,0.17,170,0.072,72,2,522,572.809,1094.821,547.4105,Scan 18,Scan 2.pdf,Maggie,Yes,CCF17042017_23 or Scan 2,,
Arid.Cattle Exclosure.J.1,Arid,2,Cattle Exclosure,J,Bromus hordeaceus,1,grass,0.029,29,0.007,7,2,105.1519,154.3591,259.511,129.7555,,Scan 46.pdf,tbd,Yes,,,
Arid.Cattle Exclosure.trident grass.1,Arid,2,Cattle Exclosure,trident grass,Bromus hordeaceus,1,grass,0.022,22,0.009,9,2,51.8479,93.2268,145.0747,72.53735,,Scan 47.pdf,tbd,Yes,,,
