PRISM Time Series Data
Locations: 9
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 800m
Monthly 1981-2010 Normals
Dataset: Norm81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-May-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
A,-118.6777,35.0247,898.0,January,61.45,2.2,7.3,12.5,-2.9,1.88,9.63
A,-118.6777,35.0247,898.0,February,65.96,3.1,8.4,13.7,-1.3,1.86,10.28
A,-118.6777,35.0247,898.0,March,71.13,5.1,10.7,16.4,0.7,2.35,12.77
A,-118.6777,35.0247,898.0,April,35.74,6.6,12.9,19.2,2.0,3.31,16.60
A,-118.6777,35.0247,898.0,May,14.21,10.6,17.6,24.6,4.5,4.82,22.53
A,-118.6777,35.0247,898.0,June,3.77,14.5,21.9,29.3,6.0,7.90,32.24
A,-118.6777,35.0247,898.0,July,1.86,18.5,25.8,33.2,7.1,11.92,41.10
A,-118.6777,35.0247,898.0,August,2.77,17.7,25.3,32.8,6.4,10.20,40.24
A,-118.6777,35.0247,898.0,September,5.31,15.5,22.5,29.5,5.5,9.03,33.00
A,-118.6777,35.0247,898.0,October,17.70,10.6,17.3,23.9,2.4,5.40,24.46
A,-118.6777,35.0247,898.0,November,47.13,5.6,11.1,16.6,-1.3,2.98,14.11
A,-118.6777,35.0247,898.0,December,49.31,2.1,7.2,12.3,-4.0,2.11,10.17
A,-118.6777,35.0247,898.0,Annual,376.33,9.3,15.7,22.0,2.1,5.31,22.26

B,-118.6728,35.0257,911.0,January,60.94,2.2,7.3,12.4,-2.9,1.89,9.54
B,-118.6728,35.0257,911.0,February,66.42,3.0,8.3,13.6,-1.3,1.85,10.16
B,-118.6728,35.0257,911.0,March,71.57,5.0,10.7,16.3,0.7,2.35,12.66
B,-118.6728,35.0257,911.0,April,36.39,6.5,12.8,19.1,2.0,3.31,16.44
B,-118.6728,35.0257,911.0,May,14.31,10.5,17.5,24.5,4.5,4.81,22.41
B,-118.6728,35.0257,911.0,June,3.70,14.4,21.8,29.2,6.0,7.97,32.08
B,-118.6728,35.0257,911.0,July,1.89,18.6,25.8,33.1,7.1,12.01,40.79
B,-118.6728,35.0257,911.0,August,2.87,17.8,25.2,32.7,6.4,10.23,39.99
B,-118.6728,35.0257,911.0,September,5.18,15.4,22.4,29.4,5.4,8.96,32.81
B,-118.6728,35.0257,911.0,October,17.91,10.6,17.2,23.8,2.3,5.38,24.30
B,-118.6728,35.0257,911.0,November,46.85,5.6,11.1,16.5,-1.3,2.97,14.01
B,-118.6728,35.0257,911.0,December,50.79,2.1,7.2,12.2,-4.0,2.11,10.08
B,-118.6728,35.0257,911.0,Annual,378.81,9.3,15.6,21.9,2.1,5.32,22.11

C,-118.6731,35.0199,937.0,January,60.44,2.2,7.2,12.3,-3.0,1.99,9.47
C,-118.6731,35.0199,937.0,February,68.94,2.9,8.2,13.4,-1.5,1.87,9.98
C,-118.6731,35.0199,937.0,March,72.99,4.9,10.5,16.1,0.6,2.37,12.46
C,-118.6731,35.0199,937.0,April,38.30,6.4,12.6,18.9,1.8,3.30,16.20
C,-118.6731,35.0199,937.0,May,14.87,10.4,17.4,24.3,4.3,4.88,22.12
C,-118.6731,35.0199,937.0,June,3.71,14.3,21.7,29.0,5.9,8.17,31.75
C,-118.6731,35.0199,937.0,July,2.06,18.4,25.7,32.9,6.9,11.88,40.35
C,-118.6731,35.0199,937.0,August,3.37,17.6,25.1,32.5,6.2,10.26,39.62
C,-118.6731,35.0199,937.0,September,5.57,15.3,22.3,29.3,5.3,8.96,32.53
C,-118.6731,35.0199,937.0,October,18.65,10.5,17.1,23.7,2.2,5.38,24.04
C,-118.6731,35.0199,937.0,November,47.67,5.5,11.0,16.4,-1.4,3.00,13.85
C,-118.6731,35.0199,937.0,December,53.15,2.1,7.1,12.1,-4.1,2.14,10.00
C,-118.6731,35.0199,937.0,Annual,389.72,9.2,15.5,21.7,1.9,5.35,21.86

D,-118.5943,34.9780,1705.0,January,106.70,0.1,4.8,9.6,-5.1,1.97,7.93
D,-118.5943,34.9780,1705.0,February,85.59,-0.4,4.6,9.5,-3.8,1.43,7.34
D,-118.5943,34.9780,1705.0,March,70.69,1.7,6.6,11.5,-2.1,2.05,9.11
D,-118.5943,34.9780,1705.0,April,32.93,3.2,9.0,14.9,-0.3,2.24,12.33
D,-118.5943,34.9780,1705.0,May,13.84,6.9,13.7,20.6,1.9,3.45,17.73
D,-118.5943,34.9780,1705.0,June,3.88,10.9,18.2,25.4,3.7,5.57,25.69
D,-118.5943,34.9780,1705.0,July,3.05,15.1,22.3,29.4,5.4,8.69,32.14
D,-118.5943,34.9780,1705.0,August,4.81,14.1,21.5,28.8,3.4,8.67,32.06
D,-118.5943,34.9780,1705.0,September,5.35,11.9,18.7,25.5,1.7,6.75,27.07
D,-118.5943,34.9780,1705.0,October,15.89,7.2,13.4,19.7,-0.9,4.23,18.97
D,-118.5943,34.9780,1705.0,November,44.29,3.1,8.2,13.3,-3.7,2.71,11.30
D,-118.5943,34.9780,1705.0,December,88.07,0.4,4.9,9.4,-6.0,1.94,8.11
D,-118.5943,34.9780,1705.0,Annual,475.11,6.2,12.2,18.1,-0.5,4.14,17.48

E,-118.5880,34.9764,1649.0,January,106.68,0.5,5.2,9.9,-4.8,2.01,8.07
E,-118.5880,34.9764,1649.0,February,87.00,-0.0,4.8,9.7,-3.6,1.52,7.43
E,-118.5880,34.9764,1649.0,March,69.41,2.2,7.0,11.8,-1.8,2.18,9.31
E,-118.5880,34.9764,1649.0,April,32.06,3.5,9.4,15.4,-0.1,2.44,12.77
E,-118.5880,34.9764,1649.0,May,13.65,7.3,14.2,21.0,2.1,3.70,18.33
E,-118.5880,34.9764,1649.0,June,3.80,11.2,18.5,25.9,3.9,5.87,26.57
E,-118.5880,34.9764,1649.0,July,3.02,15.3,22.6,29.8,5.4,8.66,33.13
E,-118.5880,34.9764,1649.0,August,4.70,14.3,21.8,29.3,3.4,8.52,33.32
E,-118.5880,34.9764,1649.0,September,5.22,12.1,19.0,25.9,1.8,6.95,28.11
E,-118.5880,34.9764,1649.0,October,15.76,7.6,13.9,20.2,-0.7,4.46,19.57
E,-118.5880,34.9764,1649.0,November,43.16,3.5,8.6,13.6,-3.4,2.79,11.54
E,-118.5880,34.9764,1649.0,December,87.12,0.7,5.2,9.7,-5.8,2.02,8.29
E,-118.5880,34.9764,1649.0,Annual,471.59,6.5,12.5,18.5,-0.3,4.26,18.04

F,-118.5836,34.9779,1643.0,January,104.83,0.6,5.3,10.0,-4.8,2.05,8.11
F,-118.5836,34.9779,1643.0,February,86.27,0.0,4.9,9.8,-3.5,1.54,7.49
F,-118.5836,34.9779,1643.0,March,68.76,2.3,7.0,11.8,-1.8,2.18,9.35
F,-118.5836,34.9779,1643.0,April,31.66,3.6,9.5,15.5,-0.1,2.44,12.85
F,-118.5836,34.9779,1643.0,May,13.59,7.4,14.2,21.1,2.2,3.70,18.48
F,-118.5836,34.9779,1643.0,June,3.75,11.3,18.6,26.0,4.0,5.93,26.76
F,-118.5836,34.9779,1643.0,July,2.92,15.4,22.7,29.9,5.5,8.78,33.35
F,-118.5836,34.9779,1643.0,August,4.63,14.4,21.9,29.4,3.5,8.61,33.59
F,-118.5836,34.9779,1643.0,September,5.15,12.2,19.1,26.0,1.8,7.04,28.34
F,-118.5836,34.9779,1643.0,October,15.72,7.6,14.0,20.3,-0.6,4.52,19.73
F,-118.5836,34.9779,1643.0,November,42.08,3.6,8.6,13.7,-3.4,2.84,11.61
F,-118.5836,34.9779,1643.0,December,84.75,0.7,5.3,9.8,-5.8,2.06,8.36
F,-118.5836,34.9779,1643.0,Annual,464.11,6.6,12.6,18.6,-0.3,4.31,18.17

G,-118.5828,34.9713,1645.0,January,107.06,0.6,5.3,10.0,-4.8,2.10,8.05
G,-118.5828,34.9713,1645.0,February,91.31,0.0,4.9,9.7,-3.6,1.52,7.44
G,-118.5828,34.9713,1645.0,March,68.91,2.3,7.0,11.8,-1.8,2.15,9.30
G,-118.5828,34.9713,1645.0,April,30.51,3.5,9.4,15.3,-0.1,2.47,12.72
G,-118.5828,34.9713,1645.0,May,13.15,7.3,14.2,21.0,2.2,3.68,18.34
G,-118.5828,34.9713,1645.0,June,3.60,11.2,18.5,25.8,3.9,5.94,26.39
G,-118.5828,34.9713,1645.0,July,2.94,15.3,22.5,29.7,5.4,8.81,32.92
G,-118.5828,34.9713,1645.0,August,4.44,14.3,21.8,29.3,3.4,8.72,33.26
G,-118.5828,34.9713,1645.0,September,5.14,12.1,19.0,25.9,1.8,6.85,28.10
G,-118.5828,34.9713,1645.0,October,16.37,7.6,13.9,20.2,-0.7,4.41,19.53
G,-118.5828,34.9713,1645.0,November,41.39,3.6,8.6,13.7,-3.5,2.69,11.55
G,-118.5828,34.9713,1645.0,December,85.76,0.7,5.2,9.7,-5.9,2.01,8.29
