PRISM Time Series Data
Locations: 3
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 800m
Monthly 1981-2010 Normals
Dataset: Norm81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-May-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
Arid,-118.6746,35.0234,914.0,January,61.01,2.2,7.3,12.4,-2.9,1.89,9.53
Arid,-118.6746,35.0234,914.0,February,66.79,3.0,8.3,13.6,-1.3,1.85,10.14
Arid,-118.6746,35.0234,914.0,March,71.80,5.0,10.6,16.3,0.7,2.36,12.64
Arid,-118.6746,35.0234,914.0,April,36.74,6.5,12.8,19.1,2.0,3.32,16.41
Arid,-118.6746,35.0234,914.0,May,14.38,10.5,17.5,24.5,4.4,4.83,22.35
Arid,-118.6746,35.0234,914.0,June,3.72,14.4,21.8,29.2,6.0,7.94,32.01
Arid,-118.6746,35.0234,914.0,July,1.91,18.6,25.8,33.1,7.1,12.02,40.76
Arid,-118.6746,35.0234,914.0,August,2.91,17.8,25.2,32.6,6.4,10.27,39.94
Arid,-118.6746,35.0234,914.0,September,5.24,15.4,22.4,29.4,5.4,9.04,32.77
Arid,-118.6746,35.0234,914.0,October,18.05,10.6,17.2,23.8,2.3,5.40,24.28
Arid,-118.6746,35.0234,914.0,November,46.99,5.6,11.1,16.5,-1.3,2.98,13.99
Arid,-118.6746,35.0234,914.0,December,51.15,2.1,7.2,12.2,-4.0,2.12,10.08
Arid,-118.6746,35.0234,914.0,Annual,380.68,9.3,15.6,21.9,2.1,5.33,22.08

Intermeidate,-118.5886,34.9774,1661.0,January,105.92,0.4,5.1,9.9,-4.9,1.99,8.02
Intermeidate,-118.5886,34.9774,1661.0,February,86.20,-0.1,4.8,9.7,-3.6,1.51,7.41
Intermeidate,-118.5886,34.9774,1661.0,March,69.50,2.1,6.9,11.7,-1.9,2.15,9.28
Intermeidate,-118.5886,34.9774,1661.0,April,32.20,3.4,9.4,15.3,-0.2,2.39,12.72
Intermeidate,-118.5886,34.9774,1661.0,May,13.68,7.2,14.1,20.9,2.1,3.65,18.24
Intermeidate,-118.5886,34.9774,1661.0,June,3.81,11.1,18.5,25.8,3.9,5.80,26.46
Intermeidate,-118.5886,34.9774,1661.0,July,3.01,15.3,22.5,29.8,5.4,8.67,32.99
Intermeidate,-118.5886,34.9774,1661.0,August,4.72,14.3,21.8,29.2,3.4,8.52,33.15
Intermeidate,-118.5886,34.9774,1661.0,September,5.24,12.1,19.0,25.9,1.8,6.93,27.96
Intermeidate,-118.5886,34.9774,1661.0,October,15.73,7.5,13.8,20.1,-0.7,4.43,19.49
Intermeidate,-118.5886,34.9774,1661.0,November,43.24,3.4,8.5,13.5,-3.5,2.80,11.48
Intermeidate,-118.5886,34.9774,1661.0,December,86.77,0.6,5.1,9.7,-5.9,2.01,8.25
Intermeidate,-118.5886,34.9774,1661.0,Annual,470.01,6.4,12.4,18.5,-0.3,4.24,17.95

Mesic,-118.5864,34.9720,1645.0,January,108.77,0.5,5.2,9.9,-4.8,2.05,8.04
Mesic,-118.5864,34.9720,1645.0,February,90.23,-0.1,4.8,9.7,-3.6,1.50,7.39
Mesic,-118.5864,34.9720,1645.0,March,70.13,2.2,7.0,11.7,-1.9,2.15,9.25
Mesic,-118.5864,34.9720,1645.0,April,31.28,3.5,9.4,15.3,-0.1,2.46,12.67
Mesic,-118.5864,34.9720,1645.0,May,13.46,7.3,14.1,21.0,2.1,3.69,18.31
Mesic,-118.5864,34.9720,1645.0,June,3.72,11.1,18.5,25.8,3.9,5.86,26.35
Mesic,-118.5864,34.9720,1645.0,July,3.04,15.2,22.5,29.7,5.4,8.73,32.91
Mesic,-118.5864,34.9720,1645.0,August,4.57,14.2,21.7,29.2,3.4,8.51,33.13
Mesic,-118.5864,34.9720,1645.0,September,5.17,12.0,18.9,25.9,1.7,6.78,28.01
Mesic,-118.5864,34.9720,1645.0,October,16.11,7.5,13.9,20.2,-0.7,4.38,19.46
Mesic,-118.5864,34.9720,1645.0,November,42.71,3.5,8.6,13.6,-3.5,2.68,11.51
Mesic,-118.5864,34.9720,1645.0,December,87.90,0.6,5.2,9.7,-5.9,1.98,8.27
Mesic,-118.5864,34.9720,1645.0,Annual,477.10,6.5,12.5,18.5,-0.3,4.23,17.94

