PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
Spatial resolution: 800m,,,,,,,,,,,
Monthly 1981-2010 Normals,,,,,,,,,,,
Dataset: Norm81m,,,,,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,,,,,
Grid Cell Interpolation: On,,,,,,,,,,,
Time series generated: 2021-May-09,,,,,,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,,,,,,
Name,Longitude,Latitude,Elevation_m,Date,ppt_mm,tmin_C,tmean_C,tmax_C,tdmean_C,vpdmin_hPa,vpdmax_hPa
A_ A_Open,-118.6786,35.0245,892,January,61.76,2.2,7.4,12.5,-2.9,1.89,9.68
A_ A_Open,-118.6786,35.0245,892,February,65.55,3.1,8.4,13.8,-1.3,1.87,10.34
A_ A_Open,-118.6786,35.0245,892,March,70.72,5.1,10.8,16.4,0.7,2.35,12.82
A_ A_Open,-118.6786,35.0245,892,April,35.11,6.6,12.9,19.3,2.1,3.31,16.67
A_ A_Open,-118.6786,35.0245,892,May,14.13,10.6,17.6,24.7,4.5,4.8,22.6
A_ A_Open,-118.6786,35.0245,892,June,3.79,14.5,21.9,29.4,6,7.91,32.34
A_ A_Open,-118.6786,35.0245,892,July,1.84,18.4,25.8,33.2,7,11.82,41.24
A_ A_Open,-118.6786,35.0245,892,August,2.72,17.7,25.3,32.8,6.4,10.14,40.38
A_ A_Open,-118.6786,35.0245,892,September,5.37,15.5,22.5,29.6,5.5,9,33.1
A_ A_Open,-118.6786,35.0245,892,October,17.49,10.6,17.3,24,2.4,5.4,24.54
A_ A_Open,-118.6786,35.0245,892,November,47.22,5.6,11.1,16.6,-1.3,2.98,14.16
A_ A_Open,-118.6786,35.0245,892,December,48.15,2.1,7.2,12.3,-4,2.11,10.21
A_ A_Open,-118.6786,35.0245,892,Annual,373.86,9.3,15.7,22.1,2.1,5.3,22.34
A_ A_Partial,-118.6774,35.0252,895,January,61.06,2.2,7.3,12.5,-2.9,1.87,9.65
A_ A_Partial,-118.6774,35.0252,895,February,65.25,3,8.4,13.8,-1.3,1.86,10.3
A_ A_Partial,-118.6774,35.0252,895,March,70.95,5.1,10.7,16.4,0.7,2.35,12.8
A_ A_Partial,-118.6774,35.0252,895,April,35.5,6.6,12.9,19.3,2,3.3,16.64
A_ A_Partial,-118.6774,35.0252,895,May,14.08,10.6,17.6,24.6,4.5,4.8,22.6
A_ A_Partial,-118.6774,35.0252,895,June,3.75,14.5,21.9,29.3,6,7.85,32.33
A_ A_Partial,-118.6774,35.0252,895,July,1.84,18.5,25.9,33.2,7.1,11.95,41.13
A_ A_Partial,-118.6774,35.0252,895,August,2.74,17.8,25.3,32.8,6.4,10.2,40.3
A_ A_Partial,-118.6774,35.0252,895,September,5.23,15.4,22.5,29.5,5.5,8.97,33.06
A_ A_Partial,-118.6774,35.0252,895,October,17.65,10.6,17.3,24,2.4,5.38,24.5
A_ A_Partial,-118.6774,35.0252,895,November,46.78,5.6,11.1,16.6,-1.2,2.96,14.13
