PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
Spatial resolution: 4km,,,,,,,,,,,
Period: 1997 - 2017,,,,,,,,,,,
Dataset: AN81m,,,,,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,,,,,
Grid Cell Interpolation: On,,,,,,,,,,,
Time series generated: 2021-May-09,,,,,,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,,,,,,
Name,Longitude,Latitude,Elevation_m,Date,ppt_mm,tmin_C,tmean_C,tmax_C,tdmean_C,vpdmin_hPa,vpdmax_hPa
A_ A_Open,-118.6786,35.0245,823,1997,315.6,8.1,15.4,22.7,2.6,3.51,22.14
A_ A_Open,-118.6786,35.0245,823,1998,775.42,8.3,14.5,20.7,3.3,3.48,18.87
A_ A_Open,-118.6786,35.0245,823,1999,263.44,8.5,15.6,22.6,0.6,4.64,23.2
A_ A_Open,-118.6786,35.0245,823,2000,281.46,9,16,23,1.9,4.21,23.51
A_ A_Open,-118.6786,35.0245,823,2001,409.75,9.5,16.4,23.2,2.8,4.78,24.67
A_ A_Open,-118.6786,35.0245,823,2002,215.23,9.2,16.2,23.2,1.3,5.12,24.86
A_ A_Open,-118.6786,35.0245,823,2003,412.05,9.5,16.1,22.7,2.1,5,23.42
A_ A_Open,-118.6786,35.0245,823,2004,325.32,9.5,15.8,22.1,1.2,5.38,22.81
A_ A_Open,-118.6786,35.0245,823,2005,534.07,9.3,15.5,21.7,2.4,4.19,20.87
A_ A_Open,-118.6786,35.0245,823,2006,268.93,9.1,15.7,22.3,1.1,4.99,22.99
A_ A_Open,-118.6786,35.0245,823,2007,210.19,9.2,15.7,22.2,-0.5,5.35,23.14
A_ A_Open,-118.6786,35.0245,823,2008,260.38,9.4,15.8,22.1,-0.4,5.95,23.58
A_ A_Open,-118.6786,35.0245,823,2009,210.33,9.2,15.7,22.3,0.3,5.47,23.21
A_ A_Open,-118.6786,35.0245,823,2010,716.87,8.6,14.9,21.1,2,4.21,20.53
A_ A_Open,-118.6786,35.0245,823,2011,412.22,8.3,14.8,21.2,1.1,4.15,21.06
A_ A_Open,-118.6786,35.0245,823,2012,285.8,9.6,16.3,23,0.2,5.36,24.74
A_ A_Open,-118.6786,35.0245,823,2013,157.51,9.6,16.1,22.6,-0.6,5.8,23.89
A_ A_Open,-118.6786,35.0245,823,2014,360.44,10.5,17.2,23.9,0.3,6,25.33
A_ A_Open,-118.6786,35.0245,823,2015,267.31,10.4,16.9,23.4,1.8,5.09,24.07
A_ A_Open,-118.6786,35.0245,823,2016,332.23,10.2,16.7,23.3,1.5,5.35,24.42
A_ A_Open,-118.6786,35.0245,823,2017,313.23,10.6,16.9,23.2,1.8,5.51,23.98
A_ A_Partial,-118.6774,35.0252,821,1997,316.28,8.1,15.4,22.7,2.6,3.52,22.16
A_ A_Partial,-118.6774,35.0252,821,1998,775.37,8.3,14.5,20.8,3.3,3.48,18.89
A_ A_Partial,-118.6774,35.0252,821,1999,263.4,8.5,15.6,22.6,0.6,4.64,23.22
A_ A_Partial,-118.6774,35.0252,821,2000,281.44,9,16,23,1.9,4.22,23.52
A_ A_Partial,-118.6774,35.0252,821,2001,409.83,9.5,16.4,23.3,2.8,4.78,24.68
A_ A_Partial,-118.6774,35.0252,821,2002,215.4,9.2,16.2,23.2,1.3,5.12,24.86
A_ A_Partial,-118.6774,35.0252,821,2003,411.88,9.5,16.1,22.7,2.1,5.01,23.42
A_ A_Partial,-118.6774,35.0252,821,2004,325.87,9.5,15.8,22.2,1.2,5.4,22.83
A_ A_Partial,-118.6774,35.0252,821,2005,534.11,9.3,15.5,21.7,2.4,4.19,20.88
A_ A_Partial,-118.6774,35.0252,821,2006,269.63,9.1,15.7,22.3,1.1,4.99,23
A_ A_Partial,-118.6774,35.0252,821,2007,210.03,9.2,15.7,22.2,-0.5,5.36,23.15
A_ A_Partial,-118.6774,35.0252,821,2008,260.57,9.4,15.8,22.1,-0.4,5.95,23.59
A_ A_Partial,-118.6774,35.0252,821,2009,210.72,9.2,15.7,22.3,0.3,5.47,23.22
A_ A_Partial,-118.6774,35.0252,821,2010,717.37,8.6,14.9,21.1,2,4.21,20.55
A_ A_Partial,-118.6774,35.0252,821,2011,412.6,8.3,14.8,21.2,1.1,4.15,21.07
A_ A_Partial,-118.6774,35.0252,821,2012,286.03,9.5,16.3,23,0.2,5.37,24.75
A_ A_Partial,-118.6774,35.0252,821,2013,157.47,9.6,16.1,22.6,-0.6,5.8,23.89
A_ A_Partial,-118.6774,35.0252,821,2014,360.92,10.5,17.2,23.9,0.3,6,25.34
A_ A_Partial,-118.6774,35.0252,821,2015,267.82,10.4,16.9,23.5,1.8,5.09,24.09
A_ A_Partial,-118.6774,35.0252,821,2016,332.9,10.2,16.7,23.3,1.5,5.35,24.44
A_ A_Partial,-118.6774,35.0252,821,2017,313.33,10.6,16.9,23.2,1.8,5.51,23.99
A_ A_Total,-118.6773,35.0244,829,1997,316.8,8.1,15.4,22.6,2.6,3.53,22.07
A_ A_Total,-118.6773,35.0244,829,1998,777.29,8.3,14.5,20.7,3.2,3.48,18.82
A_ A_Total,-118.6773,35.0244,829,1999,263.99,8.5,15.6,22.6,0.6,4.64,23.14
A_ A_Total,-118.6773,35.0244,829,2000,282.02,9,16,23,1.8,4.22,23.45
A_ A_Total,-118.6773,35.0244,829,2001,410.7,9.5,16.3,23.2,2.8,4.78,24.59
A_ A_Total,-118.6773,35.0244,829,2002,215.78,9.2,16.2,23.2,1.2,5.12,24.78
A_ A_Total,-118.6773,35.0244,829,2003,413.13,9.5,16.1,22.6,2.1,5.01,23.36
A_ A_Total,-118.6773,35.0244,829,2004,326.53,9.5,15.8,22.1,1.2,5.39,22.77
A_ A_Total,-118.6773,35.0244,829,2005,535.84,9.2,15.5,21.7,2.4,4.19,20.83
A_ A_Total,-118.6773,35.0244,829,2006,269.93,9.1,15.7,22.3,1,4.99,22.95
A_ A_Total,-118.6773,35.0244,829,2007,210.76,9.2,15.6,22.1,-0.6,5.35,23.1
A_ A_Total,-118.6773,35.0244,829,2008,261.31,9.4,15.7,22.1,-0.4,5.95,23.53
A_ A_Total,-118.6773,35.0244,829,2009,211.21,9.1,15.7,22.2,0.3,5.47,23.17
A_ A_Total,-118.6773,35.0244,829,2010,718.76,8.6,14.8,21.1,1.9,4.21,20.49
A_ A_Total,-118.6773,35.0244,829,2011,413.34,8.3,14.7,21.2,1.1,4.16,21.02
A_ A_Total,-118.6773,35.0244,829,2012,286.66,9.5,16.3,23,0.1,5.36,24.69
A_ A_Total,-118.6773,35.0244,829,2013,157.89,9.6,16.1,22.5,-0.6,5.8,23.83
A_ A_Total,-118.6773,35.0244,829,2014,361.68,10.4,17.2,23.9,0.3,6,25.28
A_ A_Total,-118.6773,35.0244,829,2015,267.84,10.4,16.9,23.4,1.8,5.09,24.02
A_ A_Total,-118.6773,35.0244,829,2016,332.52,10.1,16.7,23.2,1.5,5.35,24.36
A_ A_Total,-118.6773,35.0244,829,2017,313.52,10.5,16.9,23.2,1.7,5.5,23.93
A_ B_Open,-118.674,35.0249,834,1997,318.99,8.1,15.3,22.6,2.6,3.55,22
A_ B_Open,-118.674,35.0249,834,1998,779.57,8.2,14.5,20.7,3.2,3.48,18.77
A_ B_Open,-118.674,35.0249,834,1999,264.63,8.5,15.5,22.5,0.5,4.65,23.09
A_ B_Open,-118.674,35.0249,834,2000,282.68,9,16,22.9,1.8,4.23,23.38
