AccSpeciesName,TraitName,ValueKindName,StdValue,UnitName
Lolium perenne,Leaf nitrogen (N) content per leaf dry mass,Single,24.6,mg/g
Bromus hordeaceus,Leaf nitrogen (N) content per leaf dry mass,Single,26.5,mg/g
Bromus hordeaceus,Leaf nitrogen (N) content per leaf dry mass,Single,28.31869,mg/g
Lolium perenne,Leaf nitrogen (N) content per leaf dry mass,Single,29.07038,mg/g
Bromus hordeaceus,Seed dry mass,Single,1.8,mg
Bromus hordeaceus,Seed dry mass,Single,1.784,mg
Bromus hordeaceus,Seed dry mass,Single,2.9,mg
Bromus hordeaceus,Seed dry mass,Single,3.6,mg
Bromus hordeaceus,Seed dry mass,Single,0.61,mg
Bromus hordeaceus,Seed dry mass,Single,1.784,mg
Bromus hordeaceus,Seed dry mass,Single,1.784,mg
Bromus hordeaceus,Seed dry mass,Minimum,0.26,mg
Bromus hordeaceus,Seed dry mass,Maximum,2.53,mg
Bromus hordeaceus,Seed dry mass,Mean,2.9,mg
Bromus hordeaceus,Seed dry mass,Single,1.74,mg
Bromus hordeaceus,Seed dry mass,Single,0.61,mg
Bromus hordeaceus,Seed dry mass,Best estimate,5.258,mg
Bromus hordeaceus,Seed dry mass,Best estimate,0.7596,mg
Bromus hordeaceus,Seed dry mass,Best estimate,0.61,mg
Bromus hordeaceus,Seed dry mass,Best estimate,1.172,mg
Bromus hordeaceus,Seed dry mass,Maximum,1.172,mg
Bromus hordeaceus,Seed dry mass,Minimum,1.172,mg
Bromus hordeaceus,Seed dry mass,Best estimate,3.24,mg
Bromus hordeaceus,Seed dry mass,Maximum,3.339,mg
Bromus hordeaceus,Seed dry mass,Minimum,3.141,mg
Bromus hordeaceus,Seed dry mass,Best estimate,4.696,mg
Bromus hordeaceus,Seed dry mass,Maximum,4.696,mg
Bromus hordeaceus,Seed dry mass,Minimum,4.696,mg
Bromus hordeaceus,Seed dry mass,Best estimate,0.614,mg
Bromus hordeaceus,Seed dry mass,Best estimate,2.44,mg
Bromus hordeaceus,Seed dry mass,Maximum,2.44,mg
Bromus hordeaceus,Seed dry mass,Minimum,2.44,mg
Bromus hordeaceus,Seed dry mass,Best estimate,0.61357,mg
Bromus hordeaceus,Seed dry mass,Best estimate,3.15,mg
Bromus hordeaceus,Seed dry mass,Best estimate,2.845,mg
Bromus hordeaceus,Seed dry mass,Best estimate,3.15,mg
Bromus hordeaceus,Seed dry mass,Best estimate,0.91,mg
Bromus hordeaceus,Seed dry mass,Single,3.14,mg
Bromus hordeaceus,Seed dry mass,Single,1.48,mg
Bromus hordeaceus,Seed dry mass,Single,3.14,mg
Bromus hordeaceus,Seed dry mass,Single,1.48,mg
Bromus hordeaceus,Seed dry mass,Single,3.25,mg
Bromus hordeaceus,Seed dry mass,Single,3.25,mg
Bromus hordeaceus,Seed dry mass,Single,1.784,mg
Bromus hordeaceus,Seed dry mass,Single,1.784,mg
Bromus hordeaceus,Seed dry mass,Single,0.91,mg
Bromus hordeaceus,Seed dry mass,Single,2.9,mg
Bromus hordeaceus,Seed dry mass,Single,0.91,mg
Bromus hordeaceus,Seed dry mass,Single,2.9,mg
Bromus hordeaceus,Seed dry mass,Single,0.614,mg
Bromus hordeaceus,Seed dry mass,Single,3.14,mg
Bromus hordeaceus,Seed dry mass,Single,1.48,mg
Bromus hordeaceus,Seed dry mass,Single,2.52,mg
Bromus hordeaceus,Seed dry mass,Single,3.14,mg
Bromus hordeaceus,Seed dry mass,Single,1.48,mg
Bromus hordeaceus,Seed dry mass,Single,2.52,mg
Bromus hordeaceus,Seed dry mass,Single,2.632,mg
Bromus hordeaceus,Seed dry mass,Single,2.632,mg
Bromus hordeaceus,Seed dry mass,Single,2.632,mg
Bromus hordeaceus,Seed dry mass,Single,2.632,mg
Bromus hordeaceus,Seed dry mass,Single,2.632,mg
Clarkia cylindrica,Seed dry mass,Single,0.139,mg
Clarkia cylindrica,Seed dry mass,Single,0.14,mg
Clarkia cylindrica,Seed dry mass,Single,0.328,mg
Clarkia cylindrica,Seed dry mass,Single,0.202,mg
Clarkia cylindrica,Seed dry mass,Single,0.202,mg
Clarkia cylindrica,Seed dry mass,Single,0.202,mg
Clarkia cylindrica,Seed dry mass,Single,0.202,mg
Clarkia cylindrica,Seed dry mass,Single,0.202,mg
Clarkia cylindrica,Seed dry mass,Single,0.202,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea,Seed dry mass,Single,0.12,mg
Clarkia purpurea ssp. quadrivulnera,Seed dry mass,Single,0.162,mg
Clarkia purpurea ssp. quadrivulnera,Seed dry mass,Single,0.421,mg
Clarkia purpurea subsp. viminea,Seed dry mass,Single,0.7,mg
Clarkia purpurea subsp. viminea,Seed dry mass,Single,0.7,mg
Clarkia purpurea subsp. viminea,Seed dry mass,Single,0.7,mg
Clarkia purpurea subsp. viminea,Seed dry mass,Single,0.7,mg
Clarkia purpurea subsp. viminea,Seed dry mass,Single,0.7,mg
Clarkia purpurea subsp. viminea,Seed dry mass,Single,0.7,mg
Clarkia rhomboidea,Seed dry mass,Single,0.19,mg
Clarkia rhomboidea,Seed dry mass,Single,0.423,mg
Clarkia rhomboidea,Seed dry mass,Single,0.39,mg
Clarkia rhomboidea,Seed dry mass,Single,0.39,mg
Clarkia rhomboidea,Seed dry mass,Single,0.39,mg
Clarkia rhomboidea,Seed dry mass,Single,0.39,mg
Clarkia rhomboidea,Seed dry mass,Single,0.39,mg
Clarkia rhomboidea,Seed dry mass,Single,0.39,mg
Clarkia speciosa,Seed dry mass,Single,0.192,mg
Clarkia speciosa,Seed dry mass,Single,0.192,mg
Clarkia speciosa,Seed dry mass,Single,0.192,mg
Clarkia speciosa,Seed dry mass,Single,0.192,mg
Clarkia speciosa,Seed dry mass,Single,0.192,mg
Clarkia speciosa,Seed dry mass,Single,0.192,mg
Clarkia unguiculata,Seed dry mass,Single,0.3,mg
Clarkia unguiculata,Seed dry mass,Single,0.7,mg
Clarkia unguiculata,Seed dry mass,Single,0.3,mg
Clarkia unguiculata,Seed dry mass,Single,0.36,mg
Clarkia unguiculata,Seed dry mass,Single,0.36,mg
Clarkia unguiculata,Seed dry mass,Single,0.38,mg
Clarkia unguiculata,Seed dry mass,Single,0.17,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.17,mg
Clarkia unguiculata,Seed dry mass,Single,0.17,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia williamsonii,Seed dry mass,Single,0.345,mg
