climate,treatment,Block,species_name,functional_group,Abundance,leaf_area,sla,ldmc,Notes-taxonomy,Notes-data-sources
Arid,Total,B,Bromus diandrus,grass,0.422985675,964.15745,27.30924443,297.8431941,,
Arid,Partial,C,Asteraceae sp.,forb,0.022732147,342.6138824,15.61248669,NA,,From Try
Arid,Total,C,Bromus diandrus,grass,0.41048622,964.15745,27.30924443,297.8431941,,
Arid,Total,A,Bromus diandrus,grass,0.337296345,964.15745,27.30924443,297.8431941,,
Arid,Total,A,Bromus hordeaceus,grass,0.39872303,287.8292,34.59294483,361.5808461,,
Intermediate,Open,F,Ericameria nauseosa,shrub,0.382377622,59.8494375,8.079440711,350,,
Intermediate,Open,E,Ericameria nauseosa,shrub,0.270716603,59.8494375,8.079440711,350,,
Intermediate,Total,F,Ericameria nauseosa,shrub,0.263862845,23.8099,11.04274929,233.0084882,,
Intermediate,Partial,F,Ericameria nauseosa,shrub,0.202980473,22.3695,4.165837607,340.538258,,
Intermediate,Total,D,Ericameria nauseosa,shrub,0.169840914,23.8099,11.04274929,233.0084882,,
Intermediate,Total,E,Ericameria nauseosa,shrub,0.153243051,23.8099,11.04274929,233.0084882,,
Intermediate,Open,D,Ericameria nauseosa,shrub,0.146380373,59.8494375,8.079440711,350,,
Intermediate,Partial,D,Ericameria nauseosa,shrub,0.09972121,22.3695,4.165837607,340.538258,,
Arid,Total,C,Ericameria nauseosa,shrub,0.169840914,35.34294583,7.762675868,307.8489154,,"took as average of Intermediate Open, Partial, and Total"
Intermediate,Partial,E,Bromus diandrus,grass,0.61135499,234.1044375,19.26863408,345.8603326,,leaf area and sla as average of Intermediate Open and Intermediate Total
Intermediate,Total,F,Bromus diandrus,grass,0.461291187,286.930625,20.1431691,472.4761905,,
Intermediate,Total,E,Bromus diandrus,grass,0.4297933,286.930625,20.1431691,472.4761905,,
Arid,Open,C,Acmispon wrangelianus,forb,0.041391799,85.63381,13.26751663,238.8359788,,
Intermediate,Partial,D,Bromus diandrus,grass,0.4173279,234.1044375,19.26863408,345.8603326,,leaf area and sla as average of Intermediate Open and Intermediate Total
Arid,Open,C,Ericameria nauseosa,shrub,0.146380373,35.34294583,7.762675868,307.8489154,,"took as average of Intermediate Open, Partial, and Total"
Arid,Total,B,Bromus hordeaceus,grass,0.349079552,287.8292,34.59294483,361.5808461,,
Intermediate,Total,D,Bromus diandrus,grass,0.41048622,286.930625,20.1431691,472.4761905,,
Arid,Partial,B,Acmispon wrangelianus,forb,0.031004235,136.0672857,16.40557688,335.8384598,,
Arid,Partial,A,Acmispon wrangelianus,forb,0.024346697,136.0672857,16.40557688,335.8384598,,
Arid,Open,A,Acmispon wrangelianus,forb,0.050186779,85.63381,13.26751663,238.8359788,,
Arid,Open,B,Acmispon wrangelianus,forb,0.053601126,85.63381,13.26751663,238.8359788,,
Arid,Open,A,Bromus diandrus,grass,0.06366737,559.30825,23.71170787,251.3338376,,
Arid,Partial,B,Bromus diandrus,grass,0.329854809,590.52404,17.69230395,355.8732339,,
Arid,Total,C,Bromus hordeaceus,grass,0.053775487,287.8292,34.59294483,361.5808461,,
Arid,Open,B,Bromus diandrus,grass,0.072917999,559.30825,23.71170787,251.3338376,,
Arid,Open,C,Bromus diandrus,grass,0.348380977,559.30825,23.71170787,251.3338376,,
Intermediate,Partial,F,Bromus diandrus,grass,0.405447071,234.1044375,19.26863408,345.8603326,,leaf area and sla as average of Intermediate Open and Intermediate Total
Arid,Partial,C,Ericameria nauseosa,shrub,0.09972121,35.34294583,7.762675868,307.8489154,,"took as average of Intermediate Open, Partial, and Total"
Intermediate,Open,D,Bromus diandrus,grass,0.348380977,181.27825,18.39409906,365.1767399,,
Intermediate,Partial,E,Ericameria nauseosa,shrub,0.027802166,22.3695,4.165837607,340.538258,,
Intermediate,Open,F,Erodium sp.,forb,0.093426573,118.5921765,12.18905715,298.606126,,
Intermediate,Open,D,Erodium sp.,forb,0.092269219,118.5921765,12.18905715,298.606126,,
Intermediate,Total,D,Erodium sp.,forb,0.06923594,157.1285938,11.92957354,208.2095682,,
Intermediate,Open,E,Bromus hordeaceus,grass,0.167207313,171.5353333,27.40515897,213.9862298,,
Intermediate,Total,E,Erodium sp.,forb,0.066761701,157.1285938,11.92957354,208.2095682,,
Arid,Total,A,Erodium sp.,forb,0.024218406,116.9003182,12.74398639,229.9797339,,
Arid,Partial,A,Avena fatua,grass,0.014608018,293.229375,14.47875624,273.3057644,,
