index,climate,block,treatment,species,weight_g,notes
1,Mesic,B2,open,Gooseberry,0.56,
2,Mesic,B2,open,Rabbit brush,0.04,
3,Mesic,B2,open,Snowberry,0.29,Mislabeled as Festuca
4,Mesic,B2,open,Festuca,0.0069,Mislabeled as Snowberry
5,Mesic,B2,open,Bromus hord.,0.05,
6,Mesic,B2,open,Cheatgrass,0.028,
7,Mesic,B2,open,Bromus diandrus,0.023,
8,Mesic,B3,partial,Snowberry,0.305,
9,Mesic,B3,partial,Bromus hordeaceus,0.023,
10,Mesic,B3,partial,Foxtail,0.016,
11,Mesic,B3,partial,Bromus diandrus,0.051,
12,Mesic,B3,partial,Cheatgrass,0.079,
13,Mesic,B3,total,Snowberry,0.3,
14,Mesic,B3,total,Festuca m,0.0078,
15,Mesic,B3,total,Bromus diandrus,0.036,
16,Mesic,B3,total,Cheatgrass,0.048,
17,Mesic,B3,open,Snowberry,0.29,
18,Mesic,B3,open,Foxtail,0.06,
19,Mesic,B3,open,Cheatgrass,0.2,
20,Mesic,B3,open,Bromus diandrus,0.1,
21,Mesic,B2,partial,Snowberry,0.24,
22,Mesic,B2,partial,Cheatgrass,0.026,
23,Mesic,B2,total,Snowberry,0.16,
24,Mesic,B2,total,Bromus hord,0.012,
25,Mesic,B2,total,Bromus diandrus,0.034,
26,Mesic,B2,total,Cheatgrass,0.035,
27,Mesic,B2,total,Gooseberry,0.51,
28,Mesic,B1,partial,Bromus diandrus,0.021,Mesic-1-Partial-BroDia duplicate
29,Mesic,B1,partial,Gooseberry,0.5,
30,Mesic,B1,partial,Bedstraw,0.053,
31,Mesic,B1,partial,Snowberry,0.35,
32,Mesic,B1,partial,Bromus diandrus,0.025,Mesic-1-Partial-BroDia duplicate
33,Mesic,B1,partial,Cheatgrass,0.035,
34,Mesic,B1,open,Cheatgrass,0.12,
35,Mesic,B1,open,Foxtail,0.071,
36,Mesic,B1,open,Bromus diandrus,0.17,
37,Mesic,B1,open,Bromus hord,0.1,
38,Intermediate,B3,total,Popcorn flower,0.06,
39,Intermediate,B3,total,Bromus hordeaceus,0.098,
40,Intermediate,B3,total,Festuca myuros,0.039,
41,Intermediate,B3,total,Bromus diandrus,0.38,Int-3-Total-BroDia duplicate
42,Intermediate,B3,total,Bromus diandrus,0.13,Int-3-Total-BroDia duplicate
43,Intermediate,B3,open,Rabbit brush,0.14,
44,Intermediate,B3,open,Erodium,0.099,
45,Intermediate,B3,open,tectorum,0.16,
46,Intermediate,B3,open,Festuca myuros,0.019,
47,Intermediate,B3,open,Foxtail,0.018,
48,Intermediate,B3,open,Bromus hordeaceus,0.069,
49,Intermediate,B3,open,Bromus diandrus,0.15,
50,Intermediate,B2,partial,Bedstraw,0.11,
51,Intermediate,B2,partial,Festuca myuros,0.029,
52,Intermediate,B2,partial,Foxtail,0.067,
53,Intermediate,B2,partial,Erodium,0.19,
54,Intermediate,B2,partial,Bromus diandrus,0.27,
55,Intermediate,B2,partial,Rabbit brush,0.068,
56,Intermediate,B2,open,Bromus hordeaceus,0.062,Int-2-Open-BroHor duplicate
57,Intermediate,B2,open,Bromus tectorum,0.14,Int-2-Opne- BroTec  duplicate
58,Intermediate,B2,open,Gooseberry,0.52,
59,Intermediate,B2,total,Bromus diandrus,0.32,
60,Intermediate,B3,total,Cheatgrass,0.15,
61,Intermediate,B2,total,Bromus hordeaceus,0.79,
62,Intermediate,B2,total,Bedstraw,0.12,
63,Intermediate,B2,total,Erodium,0.28,
64,Intermediate,B3,total,Rabbit brush,0.071,Int-3-Total-Rabbit Brush duplicate
65,Intermediate,B2,total,Festuca myuros,0.021,
66,Intermediate,B3,partial,Tridilea,2.48,
67,Intermediate,B3,partial,Cheatgrass,0.082,
68,Intermediate,B3,partial,Brodi,0.19,
69,Intermediate,B3,partial,Bedstraw,0.12,
70,Intermediate,B3,partial,Bromus hordeaceus,0.1,
71,Intermediate,B1,partial,Gooseberry,0.38,
72,Intermediate,B3,partial,Rabbit brush,0.075,
73,Intermediate,B3,partial,Erodium,0.1,
74,Intermediate,B1,open,Bromus tectorum,0.095,
75,Intermediate,B1,open,Bromus diandrus,0.17,
76,Intermediate,B1,open,Bromus hordeaceus,0.049,
77,Intermediate,B3,total,Erodium,0.26,
78,Intermediate,B3,open,Bedstraw,0.11,
79,Intermediate,B3,total,Rabbit brush,0.12,Int-3-Total-Rabbit Brush duplicate
80,Intermediate,B3,total,Bedstraw,0.19,
81,Intermediate,B2,open,N/A,0.13,
82,Intermediate,B1,total,Bedstraw,0.12,
83,Intermediate,B1,partial,Popcorn flower,0.12,
84,Intermediate,B1,partial,Bedstraw,0.14,
85,Intermediate,B1,partial,Rabbit brush,0.1,
86,Intermediate,B1,partial,Erodium,0.22,
87,Intermediate,B1,partial,Bromus diandrus,0.15,Int-1-Partia-BroDia duplicate
88,Intermediate,B1,partial,Festuca myuros,0.025,
89,Intermediate,B1,partial,Bromus diandrus,0.38,Int-1-Partia-BroDia duplicate
90,Intermediate,B1,partial,Bromus hordeaceus,0.091,
91,Intermediate,B1,total,Popcorn flower,0.087,
