"contrasts.contrast","contrasts.functional_group","contrasts.climate","contrasts.estimate","contrasts.p.value"
"Open - Partial","forb","Arid",-0.569593756025626,0.0627805441365263
"Open - Total","forb","Arid",0.470968759530941,0.149827072011896
"Partial - Total","forb","Arid",1.04056251555657,0.000115095439292445
"Open - Partial","grass","Arid",-0.00680896957660349,0.999600512729698
"Open - Total","grass","Arid",-0.351669130233728,0.345901518016553
"Partial - Total","grass","Arid",-0.344860160657124,0.360219079102263
"Open - Partial","shrub","Arid",0.323597680644833,0.496549737336858
"Open - Total","shrub","Arid",0.683832376472798,0.045063397968044
"Partial - Total","shrub","Arid",0.360234695827965,0.420199117114151
"Open - Partial","forb","Intermediate",-0.569593756025626,0.0627805441365263
"Open - Total","forb","Intermediate",0.470968759530941,0.149827072011896
"Partial - Total","forb","Intermediate",1.04056251555657,0.000115095439292445
"Open - Partial","grass","Intermediate",-0.00680896957660349,0.999600512729698
"Open - Total","grass","Intermediate",-0.351669130233728,0.345901518016553
"Partial - Total","grass","Intermediate",-0.344860160657124,0.360219079102263
"Open - Partial","shrub","Intermediate",0.323597680644833,0.496549737336858
"Open - Total","shrub","Intermediate",0.683832376472798,0.045063397968044
"Partial - Total","shrub","Intermediate",0.360234695827965,0.420199117114151
"Open - Partial","forb","Mesic",-0.569593756025626,0.0627805441365263
"Open - Total","forb","Mesic",0.470968759530941,0.149827072011896
"Partial - Total","forb","Mesic",1.04056251555657,0.000115095439292445
"Open - Partial","grass","Mesic",-0.00680896957660349,0.999600512729698
"Open - Total","grass","Mesic",-0.351669130233728,0.345901518016553
"Partial - Total","grass","Mesic",-0.344860160657124,0.360219079102263
"Open - Partial","shrub","Mesic",0.323597680644833,0.496549737336858
"Open - Total","shrub","Mesic",0.683832376472798,0.045063397968044
"Partial - Total","shrub","Mesic",0.360234695827965,0.420199117114151
