index,climate,block,treatment,species,image,area,edited,notes
48,Arid,1,Partial,Tridilea,Scan 47.jpeg,11278.0025,yes,index 48-50 is a duplicate of index 55-57
1,Arid,2,Total,Tridilea,Scan 00.jpeg,7745.08,Yes,
78,Arid,3,Partial,Tridilea,scan 77,10574.7685,yes,
49,Arid,1,Partial,Tridilea,Scan 48.jpeg,11965.0098,yes,index 48-50 is a duplicate of index 55-57
50,Arid,1,Partial,Tridilea,Scan 49.jpeg,11208.3763,yes,index 48-50 is a duplicate of index 55-57
55,Arid,1,Partial,Tridilea,Scan 54,15259.2256,yes,index 48-50 is a duplicate of index 55-57
56,Arid,1,Partial,Tridilea,Scan 55,11856.0567,yes,index 48-50 is a duplicate of index 55-57
57,Arid,1,Partial,Tridilea,Scan 56,9573.8743,yes,index 48-50 is a duplicate of index 55-57
79,Arid,3,Partial,Tridilea,scan 78,12002.9341,yes,
80,Arid,3,Partial,Tridilea,scan 79,3120.0111,yes,
93,Arid,3,Open,Bromus diandus,scan 92,10373.513,yes,
86,Arid,3,Total,Tridilea,scan 85,10598.2894,yes,
87,Arid,3,Total,Tridilea,scan 86,9890.4312,yes,
58,Arid,1,Partial,Tridilea,Scan 57,3429.3078,yes,index 48-50 is a duplicate of index 55-57
2,Arid,2,Total,Tridilea,Scan 01 .jpeg,7346.0169,,
3,Arid,2,Total,Tridilea,Scan 02.jpeg,5980.3711,,
147,Intermediate,3,Full,Bromus diandus,scan 37.jpeg,9023.2872,yes,
71,Arid,3,Total,Foxtail,scan 70.jpeg,8994.1773,yes,
110,Arid,2,Total,Erodium circularium,Scan 109.jpeg,8887.2617,,"label is flipped over, but weight data sheet says it is Arid-1-Total"
118,Intermediate,3,Partial,Tridilea,Scan 07.jpeg,8813.2295,,
120,Intermediate,3,Partial,Tridilea,Scan 09.jpeg,8185.8427,,
62,Arid,1,Open,Foxtail,Scan 61 _edit.png,8107.6467,,
119,Intermediate,3,Partial,Tridilea,Scan 08.jpeg,8091.4545,,
96,Arid,3,Open,Hordeum murium,Scan 95,7928.3624,yes,
40,Arid,1,Total,Foxtail,Scan 39.jpeg,7928.1047,,
72,Arid,3,Total,Bromus diandus,scan 71.jpeg,7843.8472,,
175,Intermediate,1,Partial,Bromus diandus,Scan 65,7843.389,yes,Int-1-Partia-BroDia duplicate
121,Intermediate,3,Partial,Tridilea,Scan 10.jpeg,7803.8977,,
4,Arid,2,Total,Tridilea,Scan 03.jpeg,7006.6805,,
21,Arid,2,Partial,Popcorn flower,Scan 20.jpeg,7676.2711,,
88,Arid,3,Total,Tridilea,scan 87,3786.5705,yes,
105,Arid,1,Partial,Erodium circularium,Scan 104.jpeg,7664.6895,yes,"label is flipped over, but weight data sheet says it is Arid-1-Parital"
66,Arid,1,Open,Cheatgrass,Scan 65_edit.jpeg,7633.9296,,
125,Intermediate,2,Full,Erodium,scan 14.jpeg,7580.5942,yes,
5,Arid,2,Total,Tridilea,Scan 04.jpeg,3511.1002,,
22,Arid,2,Partial,Tridilea,Scan 21.jpeg,7001.2363,,"Labelled as Popcorn Flower, but actually Tridilea"
23,Arid,2,Partial,Tridilea,Scan 22.jpeg,8766.1901,,"Labelled as Popcorn Flower, but actually Tridilea"
33,Arid,2,Open,Bromus diandus,Scan 32.jpeg,7252.674,yes,
15,Arid,2,Total,Bromus Diandrus,Scan 14.jpeg,7020.5548,,
24,Arid,2,Partial,Tridilea,Scan 23.jpeg,7138.7637,yes,
82,Arid,3,Partial,Bromus diandus,Scan 81.jpeg,7004.1548,,
134,Intermediate,2,Partial,Bromus diandus,scan 23.jpeg,6958.1661,yes,
67,Arid,1,Open,Tridilea,Scan 66,11489.3138,yes,
103,Arid,3,Open,Erodium circularium,Scan 102.jpeg,6863.6898,,
65,Arid,1,Open,Clover,Scan 64.jpeg,1708,,
63,Arid,1,Open,Bromus diandus,Scan 62.jpeg,6800.4456,,
187,Intermediate,1,Partial,Gooseberry,Scan 00.jpeg,6789.5801,,
11,Arid,2,Total,Foxtail,Scan 10.jpeg,6758.2548,,
167,Intermediate,1,Full,Bromus Diandrus,Scan 57.jpeg,6683.1745,,
205,Mesic,3,Open,Bromus diandrus,Scan 17.jpeg,6548.1381,yes,Scan incorrectly labelled as Cheatgrass
226,Mesic,3,Open,Gooseberry,Scan 37.jpeg,6532.3176,,
225,Mesic,3,Total,Gooseberry,Scan 36.jpeg,6473.5194,yes,
151,Intermediate,3,Full,Erodium,scan 41.jpeg,6356.1043,yes,
26,Arid,2,Partial,Bromus Diandrus,Scan 25.jpeg,6337.2781,yes,"label is cut off, can't see block but appears to be block 2"
231,Mesic,1,Open,Gooseberry,Scan 42.jpeg,6311.9924,yes,
224,Mesic,3,Total,Gooseberry,Scan 35.jpeg,6164.0845,,
104,Arid,3,Total,Erodium circularium,Scan 103.jpeg,6054.8927,yes,
29,Arid,2,Open,Foxtail,Scan 28.jpeg,6045.5991,yes,
130,Intermediate,2,Control,Gooseberry,scan 19.jpeg,5999.5958,yes,
25,Arid,2,Partial,Tridilea,Scan 24.jpegArid,1734.9809,,
233,Mesic,3,Partial,Gooseberry,Scan 43.jpeg,5964.8221,,
227,Mesic,2,Partial,Gooseberry,Scan 38.jpeg,5937.1448,yes,
106,Arid,2,Open,Erodium circularium,Scan 105.jpeg,5751.8829,,
102,Arid,3,Partial,Erodium circularium,Scan 101.jpeg,5735.0281,,
195,Mesic,1,Partial,Gooseberry,Scan 08.jpeg,5634.863,,
223,Mesic,2,Open,Gooseberry,Scan 34.jpeg,5622.861,yes,
109,Arid,2,Partial,Erodium circularium,Scan 108.jpeg,5510.2436,,
108,Arid,1,Total,Erodium circularium,Scan 107.jpeg,5389.108,,"said it was block 2, but weight data sheet says block 1"
197,Mesic,2,Total,Gooseberry,Scan 10.jpeg,5251.93,,
156,Intermediate,1,Open,Erodium,Scan 46.jpeg,5245.6194,,
159,Intermediate,2,Open,Bromus diandus,scan 49.jpeg,5197.622,yes,13 leaves
193,Mesic,1,Partial,Snowberry,Scan 06.jpeg,5189.4712,,
44,Arid,1,Total,Bromus diandus,Scan 43.jpeg,5180.362,,
172,Intermediate,1,Full,Erodium,Scan 62.jpeg,5160.7306,,"Climate is missing, but it should be intermediate"
39,Arid,1,Total,Popcorn flower,Scan 38.jpeg,5153.2435,,
235,Mesic,1,Total,Gooseberry,Scan 45.jpeg,5120.9559,,
69,Arid,3,Total,Cheatgrass,Scan 68.jpeg,5085.3276,,
128,Intermediate,2,Full,Bromus diandus,scan 17.jpeg,5064.2914,yes,scan 1
135,Intermediate,2,Partial,Erodium,Scan 24.jpeg,4963.3936,yes,
178,Intermediate,1,Partial,Erodium,Scan 68,4898.025,,
60,Arid,1,Open,Bromus hordeaceous,Scan 59.jpeg,4869.2781,,* recalculate scan
42,Arid,1,Total,Bromus hordeaceous,Scan 41.jpeg,4859.1116,yes,
184,Intermediate,3,Full,Bedstraw,Scan 74,4820.6571,yes,
51,Arid,1,Partial,Bromus diandus,Scan 50.jpeg,4798.7563,,
43,Arid,1,Total,Cheatgrass,Scan 42.jpeg,4649.1782,,
70,Arid,3,Total,Bromus hordeaceous,Scan 69.jpeg,4580.6889,,
211,Mesic,3,Total,Snowberry,Scan 23.jpeg,4488.1247,,
188,Mesic,1,Open,Bromus diandus,Scan 01.jpeg,4465.6392,yes,
143,Intermediate,3,Open,Bromus tectorum,Scan 33.jpeg,4406.5866,,
17,Arid,2,Partial,Foxtail,Scan 16.jpeg,4373.5134,yes,
