Climate,Old_Block,Block,Treatment,Species,sci_name,,,# leaves,# individuals,weight (g),Area,LA,Image #
Arid,1,A,Partial,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.1.Partial.Festuca_myuros,20,11,0.26,1194.512,59.7256,
Arid,1,A,Partial,cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.1.Partial.Bromus_tectorum ,15,11,0.19,#N/A,#N/A,
Arid,1,A,Partial,foxtail,Hordeum murinum,Hordeum_murinum,Arid.1.Partial.Hordeum_murinum,16,11,0.42,4038.1273,252.3829563,
Arid,1,A,Total,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.1.Total.Plagiobothrys_nothofulvus,17,10,1.12,5153.2435,303.1319706,
Arid,1,A,Total,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.1.Total.Hordeum_murinum,15,8,0.81,7928.1047,528.5403133,
Arid,1,A,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.1.Total.Festuca_myuros,18,11,0.24,961.3139,53.40632778,
Arid,1,A,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.1.Total.Bromus_hordeaceus,20,1,0.53,#N/A,#N/A,
Arid,1,A,Total,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.1.Total.Bromus_tectorum ,21,11,0.55,4649.1782,221.3894381,
Arid,1,A,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.1.Total.Bromus_diandrus,19,11,0.69,5180.362,272.6506316,
Arid,1,A,Partial,Bestraw,Galium aparine,Galium_aparine,Arid.1.Partial.Galium_aparine,10,10,0.29,1381.6931,138.16931,
Arid,1,A,Total,Clover,trifolium microcephalum,trifolium_microcephalum,Arid.1.Total.trifolium_microcephalum,20,10,0.4,#N/A,#N/A,
Arid,1,A,Partial,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.1.Partial.Bromus_hordeaceus,20,10,0.36,3122.8022,156.14011,
Arid,1,A,Partial,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.1.Partial.Triteleia_ixioides,13,13,16.516,11278.0025,867.5386538,
Arid,1,A,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.1.Partial.Bromus_diandrus,20,13,0.57,11208.3763,560.418815,
Arid,1,A,Partial,Bedstraw,Galium aparine,Galium_aparine,Arid.1.Partial.Galium_aparine,22,11,0.34,1381.6931,62.80423182,
Arid,1,A,Partial,Clover,trifolium microcephalum,trifolium_microcephalum,Arid.1.Partial.trifolium_microcephalum,17,9,0.43,3444.1888,202.5993412,
Arid,1,A,Partial,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.1.Partial.Plagiobothrys_nothofulvus,18,9,0.44,2458.3918,136.5773222,
Arid,1,A,Partial,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.1.Partial.Triteleia_ixioides,12,12,18.03,11278.0025,939.8335417,
Arid,1,A,Open,Festuca myuros,Festuca myuros,Festuca_myuros,Arid.1.Open.Festuca_myuros,20,11,0.37,2041.7312,102.08656,
Arid,1,A,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.1.Open.Bromus_hordeaceus,20,12,0.65,#N/A,#N/A,
Arid,1,A,Open,Popcorn Flower,Plagiobothrys nothofulvus,Plagiobothrys_nothofulvus,Arid.1.Open.Plagiobothrys_nothofulvus,20,10,0.2,#N/A,#N/A,
Arid,1,A,Open,Foxtail,Hordeum murinum,Hordeum_murinum,Arid.1.Open.Hordeum_murinum,20,12,0.9,#N/A,#N/A,
Arid,1,A,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Arid.1.Open.Bromus_diandrus,20,10,0.97,#N/A,#N/A,
Arid,1,A,Open,Bedstraw,Galium aparine,Galium_aparine,Arid.1.Open.Galium_aparine,20,10,0.35,1365.681,68.28405,
Arid,1,A,Open,Clover,trifolium microcephalum,trifolium_microcephalum,Arid.1.Open.trifolium_microcephalum,16,8,0.22,6800.4456,425.02785,
Arid,1,A,Open,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.1.Open.Bromus_tectorum ,20,12,1.11,7633.9296,381.69648,
Arid,1,A,Open,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.1.Open.Triteleia_ixioides,11,11,7.37,11489.3138,1044.483073,
Arid,1,A,Open,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Arid.1.Open.Bromus_tectorum ,20,17,0.6,7633.9296,381.69648,
Arid,1,A,Partial,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.1.Partial.Erodium_cicutarium,20,10,1.39,#N/A,#N/A,
Arid,1,A,Total,Erodium cicutarium,Erodium cicutarium,Erodium_cicutarium,Arid.1.Total.Erodium_cicutarium,20,10,0.89,#N/A,#N/A,
Arid,1,A,Open,Bedstraw,Galium aparine,Galium_aparine,Arid.1.Open.Galium_aparine,20,10,0.26,1365.681,68.28405,
Arid,2,B,Total,Tridilea,Triteleia ixioides,Triteleia_ixioides,Arid.2.Total.Triteleia_ixioides,11,11,11.83,7745.08,704.0981818,
Arid,2,B,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Arid.2.Total.Bromus_hordeaceus,26,14,0.61,2376.4555,91.40213462,
