climate,treatment,species_name,individual,wet_weight_g,wet_weight_mg,dry_weight_g,dry_weight_mg,Area_Leaf_total_mm2,Average_Leaf_Area,leaf_area,sla,ldmc
Arid,Partial,Acmispon wrangelianus,NA,0.075,75,0.016,16,272.1345714,136.0672857,136.0672857,16.40557688,335.8384598
Arid,Partial,Avena fatua,NA,0.115,115,0.0306,30.6,586.45875,293.229375,293.229375,14.47875624,273.3057644
Arid,Partial,Bromus diandrus,NA,0.191,191,0.0667,66.7,1181.04808,590.52404,590.52404,17.69230395,355.8732339
Arid,Partial,Bromus hordeaceus,NA,0.04428125,44.28125,0.012060606,12.06060606,330.3442821,165.1721411,165.1721411,25.66472872,322.764151
Arid,Partial,Bromus madritensis ssp. Ruben,NA,0.0302,30.2,0.014866667,14.86666667,312.2615,175.703,175.703,22.20053409,477.6058201
Arid,Partial,Bromus tectorum,NA,0.081818182,81.81818182,0.0205,20.5,407.5302727,203.7651364,203.7651364,21.22520415,276.1908369
Arid,Partial,Calandrinia menziesii,NA,0.0396,39.6,0.006,6,85.353,42.6765,42.6765,21.33825,147.2008474
Arid,Partial,Cerastium glomeratum,NA,0.015175,15.175,0.0023625,2.3625,28.043,16.124,16.124,13.53704382,183.2185885
Arid,Partial,Daucus Pusillus,NA,0.0916,91.6,0.0218,21.8,152.8627,79.4937,79.4937,8.313492325,237.0745282
Arid,Partial,Erodium sp.,NA,0.082925,82.925,0.01725,17.25,326.6994,163.3497,163.3497,21.65885533,208.2467871
Arid,Partial,Festuca myuros,NA,0.1188,118.8,0.006818182,6.818181818,91.6918,45.8459,45.8459,15.85184345,202.020202
Arid,Partial,Gilia tricolor,NA,0.028244444,28.24444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arid,Partial,Hordeum murinum,NA,0.095,95,0.026,26,568.63025,NaN,NaN,21.45820037,285.1650433
Arid,Partial,Hypochaeris glabra,NA,0.369111111,369.1111111,0.051,51,626.325,313.1625,313.1625,14.57081014,142.5856762
Arid,Partial,Lupinus bicolor,NA,0.1162,116.2,0.0204,20.4,179.9031,89.95155,89.95155,9.893931484,179.582883
Arid,Partial,Medicago polymorpha,NA,0.011714286,11.71428571,0.0116,11.6,136.1658333,68.08291667,68.08291667,12.45303162,1000
Arid,Partial,Plagiobothrys sp.,NA,0.017854545,17.85454545,0.033736364,33.73636364,45.99718182,24.47963636,24.47963636,10.92312613,4335.016649
Arid,Partial,Quercus douglasii,NA,0.415,415,0.195625,195.625,1677.4218,838.7109,838.7109,9.90231618,471.1570301
Arid,Partial,Trifolium sp.,NA,0.031,31,0.005555556,5.555555556,143.1357778,NaN,NaN,26.46299074,182.5277192
Arid,Partial,Triteleia ixioides,NA,1.4256,1425.6,0.269,269,2902.58087,1451.290435,1451.290435,11.74641983,198.227921
Arid,Partial,NA,NA,0.068551852,68.55185185,0.011814815,11.81481481,203.3738,104.5686053,104.5686053,15.32396867,221.5681035
Arid,Open,Acmispon wrangelianus,NA,0.05,50,0.011777778,11.77777778,169.47465,85.63381,85.63381,13.26751663,238.8359788
Arid,Open,Astragalus didymocarpus,NA,NaN,NaN,0.016333333,16.33333333,264.3006667,132.1503333,132.1503333,16.06239327,NaN
Arid,Open,Bromus diandrus,NA,0.183636364,183.6363636,0.043,43,1118.6165,559.30825,559.30825,23.71170787,251.3338376
Arid,Open,Bromus hordeaceus,NA,0.074735,74.735,0.01755,17.55,276.48775,358.187,358.187,52.63162222,221.4708849
Arid,Open,Bromus madritensis ssp. Ruben,NA,0.05,50,0.0111,11.1,233.138,137.0615,137.0615,27.23063385,220.6241259
Arid,Open,Calandrinia menziesii,NA,0.0276625,27.6625,0.002125,2.125,32.29925,16.149625,16.149625,16.49427083,147.1322171
Arid,Open,Cerastium glomeratum,NA,0.01125,11.25,0.002025,2.025,35.43925,23.942,23.942,104.9930833,189.5428422
Arid,Open,Daucus Pusillus,NA,0.087,87,0.0228,22.8,NaN,NaN,NaN,NaN,271.9764977
Arid,Open,Erodium sp.,NA,0.04853,48.53,0.0175,17.5,43.3035,21.65175,21.65175,8.268375,465.8085934
Arid,Open,Gilia tricolor,NA,0.01994,19.94,0.0052,5.2,NaN,NaN,NaN,NaN,263.4229838
Arid,Open,Hordeum murinum,NA,0.060714286,60.71428571,0.014714286,14.71428571,392.7473333,214.6585,214.6585,27.81817222,257.8711485
Arid,Open,Hypochaeris glabra,NA,0.24,240,0.0298,29.8,89.127,44.5635,44.5635,3.264296512,124.7388531
Arid,Open,Lupinus bicolor,NA,0.1047,104.7,0.0179,17.9,NaN,NaN,NaN,NaN,168.1259196
Arid,Open,Medicago polymorpha,NA,0.05107,51.07,0.0124,12.4,219.978,109.989,109.989,20.0924046,240.7800853
Arid,Open,Plagiobothrys sp.,NA,0.01159,11.59,0.003777778,3.777777778,19.881,9.9405,9.9405,16.35525,342.2796935
Arid,Open,Quercus douglasii,NA,0.506,506,0.2333,233.3,2260.525556,1130.262778,1130.262778,9.437875286,468.114512
Arid,Open,Trifolium sp.,NA,0.02306,23.06,0.0071,7.1,NaN,NaN,NaN,NaN,300.2507494
Arid,Open,Triteleia ixioides,NA,1.105714286,1105.714286,0.273142857,273.1428571,2026.30375,1229.995375,1229.995375,9.45025118,1573.131091
Arid,Open,NA,NA,0.049543103,49.54310345,0.013984483,13.98448276,163.3538333,86.94375,86.94375,37.37804757,319.7925995
Arid,Total,Acmispon wrangelianus,NA,0.0331,33.1,0.0087,8.7,141.527,70.7635,70.7635,14.51384291,265.3510318
Arid,Total,Avena fatua,NA,0.046,46,0.0122,12.2,445.1525714,222.5762857,222.5762857,37.61926127,333.2142857
Arid,Total,Bromus diandrus,NA,0.286,286,0.0756,75.6,1928.3149,964.15745,964.15745,27.30924443,297.8431941
Arid,Total,Bromus hordeaceus,NA,0.058947368,58.94736842,0.015894737,15.89473684,560.770875,287.8292,287.8292,34.59294483,361.5808461
Arid,Total,Bromus madritensis ssp. Ruben,NA,0.026,26,0.0064,6.4,210.8768,142.4731667,142.4731667,36.83330172,248.3333333
Arid,Total,Bromus tectorum,NA,0.0575,57.5,0.015875,15.875,562.591,305.27275,305.27275,45.29082248,341.2980769
Arid,Total,Calandrinia menziesii,NA,0.011484615,11.48461538,0.001041667,1.2875,58.49611111,32.441,32.441,54.73352361,87.84127947
Arid,Total,Cerastium glomeratum,NA,0.01718,17.18,0.0036,3.6,82.00888889,41.00444444,41.00444444,36.73485185,281.2982177
Arid,Total,Daucus Pusillus,NA,0.0625,62.5,0.01625,16.25,NaN,NaN,NaN,NaN,357.677862
Arid,Total,Erodium sp.,NA,0.142819048,142.8190476,0.031533333,31.53333333,221.996,116.9003182,116.9003182,12.74398639,229.9797339
Arid,Total,Festuca myuros,NA,0.0502,50.2,0.0174,17.4,404.3602,202.1801,202.1801,23.51327833,366.1607143
Arid,Total,Hordeum murinum,NA,0.0606,60.6,0.0188,18.8,558.398,279.199,279.199,25.38172727,407.4468864
Arid,Total,Lupinus bicolor,NA,0.077285714,77.28571429,0.013714286,13.71428571,NaN,NaN,NaN,NaN,179.8670321
Arid,Total,Medicago polymorpha,NA,0.08787,87.87,0.0212,21.2,NaN,NaN,NaN,NaN,242.2031032
Arid,Total,NA,NA,0.027530769,27.53076923,0.011019231,11.01923077,195.1427561,99.32079268,99.32079268,20.34076419,950.0612966
Arid,Total,Plagiobothrys sp.,NA,0.0119,11.9,0.00341,3.41,59.18888889,31.51033333,31.51033333,53.26426852,323.0654762
Arid,Total,Quercus douglasii,NA,0.301,301,0.1436,143.6,1322.8488,661.4244,661.4244,9.562723379,477.0037344
Arid,Total,Trifolium sp.,NA,0.02522,25.22,0.0074,7.4,100.4136,50.2068,50.2068,13.88730207,297.2876871
Arid,Total,Triteleia ixioides,NA,2.404,2404,0.496,496,2529.096667,1264.548333,1264.548333,4.254003042,200.4046675
Arid,Unkown,Hypochaeris glabra,NA,NaN,NaN,NaN,NaN,874.816,437.408,437.408,NaN,NaN
Mesic,Partial,Acmispon sp,NA,0.0317,31.7,0.0107,10.7,156.0891,78.04455,78.04455,13.48714456,352.6846357
Mesic,Partial,Acmispon wrangelianus,NA,0.063222222,63.22222222,0.017222222,17.22222222,111.7171111,55.85855556,55.85855556,6.971445178,280.3623667
Mesic,Partial,Galium aparine,NA,0.0123,12.3,0.00287,2.87,77.6128,38.8064,38.8064,28.56726324,246.4102564
Mesic,Partial,Gayophytum diffusum ssp. Parviflorum,NA,0.0287,28.7,0.0095,9.5,118.299,59.1495,59.1495,13.72086525,376.5312132
Mesic,Partial,Hosackia crassifolia var. crassifolia,NA,0.225,225,0.0724,72.4,1318.0535,659.02675,659.02675,19.70722667,320.3216678
Mesic,Partial,Melica californica,NA,0.0282,28.2,0.0121,12.1,383.593,191.7965,191.7965,24.32562792,463.6858974
