Index,climate,block,treatment,species,num_leaves,num_indivs,weight_g,notes
1,Arid,2,Total,Tridilea,11,11,11.83,
2,Arid,2,Total,Bromus hordeaceus,26,14,0.61,
3,Arid,2,Total,Popcorn Flower,19,10,0.6,
4,Arid,2,Total,Cheatgrass,20,14,0.66,
5,Arid,2,Total,Foxtail,19,9,0.69,
6,Arid,2,Total,Festuca myuros,20,14,0.23,
50,Arid,1,Open,Clover,16,8,0.22,
8,Arid,2,Total,Bestraw,18,11,0.22,
9,Arid,2,Total,Bromus diandrus,20,13,0.95,
10,Arid,2,Partial,Cheatgrass,19,16,0.38,
11,Arid,2,Partial,Foxtail,20,14,0.45,
12,Arid,2,Partial,Festuca myuros,21,13,0.24,
13,Arid,2,Open,Cheatgrass,19,12,0.33,
14,Arid,2,Partial,J,21,12,0.49,
15,Arid,2,Partial,Popcorn Flower,21,11,1.77,
16,Arid,2,Partial,Tridilea,12,12,9.81,
17,Arid,2,Partial,Bromus diandrus,20,13,0.87,
41,Arid,1,Partial,Clover,17,9,0.43,
19,Arid,2,Partial,bedstraw,18,9,0.18,
20,Arid,2,Open,Foxtail,20,13,0.79,
21,Arid,2,Open,Festuca myuros,20,11,0.23,
22,Arid,2,Open,Tridilea,11,11,9.57,
23,Arid,2,Open,Bromus hordeaceus,14,15,0.4,
24,Arid,2,Open,Popcorn flower,18,9,0.35,
25,Arid,2,Open,Bromus diandrus,19,12,0.92,
26,Arid,1,Partial,Festuca myuros,20,11,0.26,
27,Arid,1,Partial,cheatgrass,15,11,0.19,
28,Arid,1,Partial,foxtail,16,11,0.42,
29,Arid,1,Total,Popcorn Flower,17,10,1.12,
30,Arid,1,Total,Foxtail,15,8,0.81,
31,Arid,1,Total,Festuca myuros,18,11,0.24,
32,Arid,1,Total,Bromus hordeaceus,20,1,0.53,
33,Arid,1,Total,Cheatgrass,21,11,0.55,
34,Arid,1,Total,Bromus diandrus,19,11,0.69,
35,Arid,1,Total,Bestraw,10,10,0.29,Arid-1-Parial-Bedstraw duplicate; pretty sure it is Total
36,Arid,1,Total,Clover,20,10,0.4,
37,Arid,1,Partial,Bromus hordeaceus,20,10,0.36,
38,Arid,1,Partial,Tridilea,13,13,16.516,Arid-1-Partial-Tridilea duplicate; one is probably Total
39,Arid,1,Partial,Bromus diandrus,20,13,0.57,
40,Arid,1,Partial,Bedstraw,22,11,0.34,Arid-1-Parial-Bedstraw duplicate; pretty sure it is actually Partial
84,Arid,2,Open,Triflolium,17,10,0.23,
42,Arid,1,Partial,Popcorn Flower,18,9,0.44,
43,Arid,1,Partial,Tridilea,12,12,18.03,Arid-1-Partial-Tridilea duplicate; one is probably Total
44,Arid,1,Open,Festuca myuros,20,11,0.37,
